instruction,output
직장인의 근무에절에 대해서 알려줘.,"인사는 직장 생활의 윤활유입니다. 출퇴근 시에나 아침에 항상 먼저 인사를 해봅시다. *부탁합니다*, *수고하셨습니다*, *감사합니다* 등의 인사도 항상 생활화합시다.
피해를 주거나 실수를 하는 일이 있다면 사과인사를 건네도록 합시다.
이외에도 외출 출장, 휴가, 결근 및 지각 등 다양한 상황에서도 항상 인사를 잊지 말도록 합시다.

*주의* 상사에게 *수고하십시오* 라는 말은 적합하지 않습니다. 대신, *먼저 실례하겠습니다*, *먼저 가겠습니다* 와 같은 말로 인사하는 것이 바람직합니다."
직장인의 근무자세에 대해서 알려줘.,"허리와 가슴을 펴고 머리는 곧게, 입가엔 미소를 나타냅니다. 다른 사람과 이야기할 때 손을 몸의 앞으로 모으며 정중한 인상을 줍니다."
직장인의 보행자세에 대해서 알려줘.,등을 곱게 세우고 어깨의 힘은 빼고 무릎을 곧게 펴고 배는 당기고 중심은 허리 높이에 둡니다. 턱은 당기고 눈은 자연스럽게 앞을 봅니다. 걷는 방향이 직선이 되도록 합니다.
의자에 앉는 자세에 대해서 알려줘.,"되도록 의자의 왼쪽부터 앉습니다.
의자 깊숙이 허리와 가슴을 펴고 안정되기 앉습니다.

*책상, 의자에 앉는 자세*
등받이와 등 사이에는 주먹 1개 정도의 간격을 두고 깊이 바로 앉습니다.
책상과 윗모 사이는 적당히 띄우고, 등받이에 주먹 하나의 간격을 두고 앉습니다.
의자에 기댄 채 몸을 흔들거나, 책상이나 서류함에 걸터앉는 행위는 자제해야 합니다."
직장인이 가지면 안되는 근무자세에 대해서 알려줘.,"양손을 주머니에 넣고 걷지 않습니다.
책상 의자에 비스듬히 앉아 일하지 않습니다.
담배를 피우면서 일하지 않습니다.
이쑤시개를 입에 넣은 채 걷지 않습니다.
남이 보는데서 화장을 고치거나, 무릎을 벌리고 앉지 않습니다.
사적인 통화를 자주, 그리고 길게 하지 않습니다.
귀를 후비거나 손톱을 깎지 않습니다."
직장인의 옷차림에 대해서 알려줘.,"직장인의 옷차림에대해서 알려드리겠습니다.

*근무복* : 항상 청결히 하며 단정하게 입습니다.
*소매* : 깨끗하게 유지하도록 합니다. 걷어 붙이는 것을 피합니다.
*명찰* : 정 위치에 부착합니다. 근무복 상단 두번째 단추 좌측 5cm에 위치시킵니다.
*블라우스* : 속이 들여다 보이지 않도록 합니다. 속옷이 밖으로 나오지 않도록 합니다.
*뱃지* : 명찰 위로 1cm 상단 중앙에 위치시킵니다.
*스타킹* : 피부색과 가까운 것으로 합니다. 원색이나 무늬 있는 것, 진한 검정색 등은 피합니다. 올이 빠지거나 늘어나는 것에 주의합니다.
*양말* :착용하지 않는 것이 원칙입니다.
*구두* : 흑색이나 갈색이 좋습니다. 슬리퍼, 운동화, 캐주얼화는 피합니다. 굽이 낮고 활동하기 편한 것으로 합니다."
직장인의 몸가짐에 대해서 알려줘.,"직장인이 갖춰야 할 몸가짐에 대해서 알려드리겠습니다.
*머리* : 앞머리가 눈을 가리지 않도록 합니다. 자주 세발하여 윤기 있는 아름다운 머리를 유지합니다. 리본 등 화려한 머리장식과, 지나친 파마 같은 요란한 머리 모양은 피합니다. 긴 머리는 묶읍시다.
*얼굴* : 얼굴색은 밝고 건강하게 보이도록 합니다. 화장은 청결한 느낌을 주도록 합니다. 눈 화장은 엷게 하고, 아이 쉐도우나 속눈썹은 하지 않습니다.
*손톱* : 항시 짧고 청결하게 유지합니다. 매니큐어는 투명하거나 엷은 것으로 하고, 벗겨지지 않도록 주의합니다."
직장에서 보고할 때의 요령을 알려줘.,"지시를 받은 후 실행했다면 반드시 보고합니다.
지시를 받았을 때 그것을 동료에게 미뤄서도 안되고, 자신이 직접 보고해야합니다.
결론부터 말한 후 과정을 나중에 말합니다.
보고하려고 할 때 지시한 사람이 자리에 없다면, 반드시 메모하여 테이블에 놓고 나옵시다.
다른 사람들이 알아서는 안 될 내용을 보고할 때는 말로 하지 말고 메모로 전하는 것이 윗사람에 대한 에티켓입니다."
직장에서 소개할 때의 요령을 알려줘.,"외부 사람들을 소개하는 경우가 많은데 소개할 때는 어느 쪽을 먼저 소개해야 하는지를 생각하고 자연스럽게 말을 건넵니다.
소개를 받았을 때에는 반드시 일어서서 웃는 얼굴로 *안녕하십니까, 잘 부탁합니다.* 라고 인사합니다.

아래는 소개인사 예시입니다.
남성을 여성에 소개할 때 - 이 여사님, 한연수씨를 소개합니다.
손아랫사람을 손윗사람에게 소개할 때 - 김 사장님, 관리부 신 과장입니다.
직급이 낮은 사람을 높은 사람에게 소개할 때 - 부장님, 신입여사원 김선영 양입니다."
직장에서 손님을 안내할 때의 요령을 알려줘.,"손님을 응접실이나 어떤 장소로 안내할 경우에는
*이쪽으로 오십시오.*라고 말을 하고 비스듬히 비껴서 반걸음 앞서서 걸어가는 것이 바람직합니다.

밖으로 여는 문일 때는
문을 조용히 잡아당겨 열며 *안으로 드세요.* 하며 목례합니다.

안으로 여는 문일 때는
직원이 먼저 들어가는 문을 잡고 *들어오세요.* 하고 목례합니다.

자기가 접대 하는 경우가 아니면
*잠깐만 기다려 주십시오.* 하고 의자를 권하면서 정중히 인사를 합니다."
직장에서의 악수 매너를 알려줘.,"악수는 윗사람이 먼저 청하는 것. 아랫사람이 손을 먼저 내밀어서는 안 됩니다.
아는 사람을 만났을 때는 악수에 대비해서 오른손에 들었던 물건을 왼손으로 미리 이동합니다.
장갑 낀 손, 땀에 젖은 손으로 악수해서는 안 됩니다.
상대의 얼굴을 주시하면서 웃는 얼굴로 악수하여야 합니다.
손을 너무 세게 쥐거나 손끝 만 내밀고 악수해서는 안 됩니다.
계속 손을 잡은 채로 말을 해서는 안 되며, 인사만 끝나면 곧 손을 놓습니다."
직장에서 명함을 주고 받을 때의 매너를 알려줘.,"명함은 자신의 소개서입니다.
자기 명함은 출퇴근 시에 미리 일정한 매 수를 항상 윗주머니에 넣어두는 습관을 길러야 합니다.
주고받을 때는 항상 *만나 뵙게 되어 기쁩니다.* 라고 말 하면서 마음을 전달하기 위해 밝은 미소를 띠웁니다.

*명함을 줄 때*
손아랫사람이 윗사람에게 미리 내밉니다.
윗주머니에서 꺼냅니다.
자기 이름이 상대방 쪽에서 보이게끔 오른손으로 내밉니다.
반드시 일어서서 *XX회사 XX팀에 있는 XXX입니다.* 라고 통성명을 합니다.
상대가 두 사람 이상일 때는 손윗사람에게 먼저 줍니다.

*명함을 받을 때*
맞교환할 때는 왼손으로 받고 오른손으로 건넵니다.
받은 명함은 그 자리에서 보고 읽기 어려운 글자가 있을 때는 바로 물어봅니다.
받은 명함은 손으로 들고 만지작거리지 말고 반드시 상의 윗주머니에 넣습니다.
받은 명함은 잘 정리하여 명함첩에 꽂습니다.
상대의 명함을 받을 때에는 두 손으로 받습니다."
직장 승강기에서 귀빈 안내 시 매너를 알려줘.,"*승강기 탑승 시*
승강기 안내원은 손님이 도착되면 공손히 인사한 후 승강기의 운행 방향을 안내합니다.
손님이 탑승을 마치면 안내원이 탑승한 후 승강기를 작동시킵니다.

*승강기 하차 시*
승강기가 정차하면 문을 열고 손님이 먼저 하차합니다.
하차하는 동안 문이 닫히지 않도록 고정시키며 “감사합니다” 또는 “안녕히 가십시오”라고 인사합니다."
직장에서 전화를 받는 요령을 알려줘.,"전화기 벨이 두 번째 울릴 때 수화기를 듭니다.
우선 자기 소속과 이름을 밝힙니다 (감사합니다. 00회사 인사팀 000입니다)
상대방을 확인한 후 인사합니다. (00주식회사의 0대리시라구요? 안녕하십니까.)
메모 준비를 하고 경청합니다.
용건이 끝났음을 확인한 후 통화내용을 요약, 복창합니다.
(내일 오후 2시에 저희 회사로 나오신다고요?)
마무리 인사한 후 상대방이 수화기를 내려놓은 다음 조용히 수화기를 내려놓습니다(감사합니다. 안녕히 계십시오.)"
직장에서 전화를 걸 때의 요령을 알려줘.,"용건을 6하원칙으로 정리하여 메모합니다. (언제, 어디서, 누가, 무엇을, 어떻게, 왜)
전화번호를 확인한 후 왼손으로 수화기를 들고 오른손 검지로 다이얼을 누릅니다.
상대방이 나오면 자신을 밝힌 후 상대방을 확인합니다. (감사합니다. 00반도체 인사팀 000입니다 실례합니다만 000씨 아닙니까?)
간단한 인사말을 한 후 시간, 장소, 상황을 고려하여 용건을 말합니다. (바쁘신데 죄송합니다만)
용건이 끝났음을 확인한 후 마무리 인사를 합니다. (감사합니다)
상대방이 수화기를 내려놓은 다음 수화기를 조심스럽게 내려놓습니다."
직장에서 전화를 연결할 때의 요령을 알려줘.,"전화 받을 사람을 확인합니다(연구부 김과장님 말씀이신가요 잠깐만 기다려 주십시오)
동명인이 2명 이상 있을 경우에는 담당 성명으로 확인합니다(어느 부서에 근무하는 김과장 입니까)
전화를 연결할 경우에는 수화기를 막은 다음 전화 받을 사람에게 연결한다(김과장님 oo회사 김부장입니다)
전화를 받을 사람이 즉시 받을 수 없을 때에는 중간 상황을 수시로 알려 줍니다(김과장이 지금 통화중인데요)"
직장에서 전화할 때의 기본 자세를 알려줘.,"우리 회사의 친절한 이미지를 향상시킬 수 있도록 전화응대기법을 전 직원이 몸에 익히도록 합니다.
전화응대의 기본 요령은 아래와 같습니다.
1. 고객을 맞이하는 마음으로
2. 발음을 정확히
3. 내용은 간단하고 명료하게
4. 태도는 친절하고 말은 정중하게"
"직장에서의 형, 언니와 같은 호칭을 사용해도 될까?","다정한 사이라면 사적으로 부를 수 있습니다
하지만 나이를 확인하지도 않은 상태이거나, 처음 보는 사람, 서먹서먹한 사람에게 이러한 호칭을 사용하면 상대방을 불쾌하게 만들 염려가 있습니다."
나와 저를 어떻게 구별해서 사용해야해?,"5세 이상의 차이가 나는 윗사람에게는 *저*로 표현하는 것이 무난합니다.
연하의 상관이라도 공석에서는 *저*로 칭하는 것이 바람직하다.
조직체의 장인 경우 회사의 공식적인 행사나 회의 때 *저*라는 표현을 써야 할 경우가 많습니다.
조직체의 장은 훈시나 대규모 간부회의 때는 *나도 앞으로…*, *나는 이렇게…*로 말하는 것이 바람직합니다.
부부간에는 어떠한 경우라도 *나*라고 하는 것이 맞습니다. 부부는 동격이므로 *나*라는 표현이 바람직합니다."
직장에서 남자 직원을 부를 때 요령을 알려줘.,"선배 직원이 남자 직원을 부를 때는 *ooo씨* 또는 직위가 있을 때는 그 직위 앞에 성을 붙여 부르는 것이 좋습니다.
후배 직원이 남자 직원을 호칭할 때는 직위 뒤에 *님*자를 붙여 부르는 것이 좋습니다."
직장에서 여자 직원을 부를 때 요령을 알려줘.,"직장에서 기혼 여성들에게는 *ooo씨*로 칭하는 것이 바람직합니다.
(직장 밖 모임이라면 *미세스*, 중년 부인이상이면 *여사*라 호칭합니다)
또 대부분의 여성들을 *미스*나 *양*보다 *ooo씨*로 불러 주기를 원하므로 가장 무난한 호칭으로 씁니다."
각출이 무슨 뜻이야?,각출은 각자의 비용을 각자 지불하는 것을 의미합니다.
갹출이 무슨 뜻이야?,갹출은 같은 목적을 위해 여러 사람이 돈을 나눠 내는 것을 의미합니다.
격일이 무슨 뜻이야?,"격일은 일수를 셀 때 하루를 거르는 것을 의미합니다. 예를 들어, 월 수 금 수업이라고 하면 수업을 격일로 듣는다고 표현할 수 있습니다."
결재가 무슨 뜻이야?,부하직원이 제출한 안건을 상사가 검토한 후 승인하는 것을 의미합니다.
공란이 무슨 뜻이야?,공란은 비워둔 칸을 의미합니다.
공람이 무슨 뜻이야?,공람은 여러 사람이 보거나 보게 하는 것을 의미합니다.
공문이 무슨 뜻이야?,공문은 공공기관이나 단체에서 공식적으로 작성한 문서를 의미합니다.
공제가 무슨 뜻이야?,공제는 받을 몫에서 일정한 금액을 빼는 것을 의미합니다.
금번이 무슨 뜻이야?,금번은 이번을 의미합니다.
금일이 무슨 뜻이야?,금일은 오늘을 의미합니다.
금주가 무슨 뜻이야?,금주는 이번 주를 의미합니다.
기안이 무슨 뜻이야?,"기안에는 다음의 두 의미를 가집니다.
1. 의사결정을 위해 작성하는 문서
2. 사업이나 활동 계획의 초안"
기재가 무슨 뜻이야?,기재는 문서에 기록하는 것을 의미합니다.
납기가 무슨 뜻이야?,납기는 고객에게 주문받은 물품이나 결과물을 가져다줘야 하는 마감 기한을 의미합니다.
노무가 무슨 뜻이야?,노무는 노동이나 노동과 관련된 사무를 의미합니다.
노티가 무슨 뜻이야?,"노티는 알리다, 공지하다 라는 뜻의 notice를 비즈니스 상의 발음으로 사용한 것입니다."
당사가 무슨 뜻이야?,당사는 해당 회사를 의미합니다.
당일이 무슨 뜻이야?,당일은 특정한 바로 그 날을 의미합니다.
대결이 무슨 뜻이야?,대결은 기존의 결재권자가 결재할 수 없을 때 그 직무를 대리하는 자가 결재하는 것을 의미합니다.
대금이 무슨 뜻이야?,대금은 물건의 값으로 치르는 돈을 의미합니다.
대외비가 무슨 뜻이야?,대외비는 대외적으로 비밀인 사항을 의미합니다.
데드라인이 무슨 뜻이야?,데드라인은 마감 기한을 의미합니다.
도메인이 무슨 뜻이야?,"도메인은 비즈니스가 속한 산업 분야, 영역, 환경 전반을 일컫는 말입니다. 또는 인터넷 주소의 일부를 의미하기도 합니다."
듀데이트가 무슨 뜻이야?,듀데이트는 마감 기한을 의미합니다.
디벨롭이 무슨 뜻이야?,"디벨롭은 발전시키다, 구체화하다 라는 의미입니다."
램프업이 뭐야?,램프업은 생산 능력 등을 늘리는 행위를 의미합니다.
랩업이 뭐야?,랩업은 회고하는 것을 의미합니다.
러프가 무슨 뜻이야?,러프는 대략적이라는 의미를 가지고 있습니다. 디테일하다는 단어와 반대급부의 의미입니다.
레거시가 뭐야?,"레거시는 현재까지 쓰이는 낡은 기존 시스템, 또는 현재 체계에 영향을 미치는 과거의 시스템을 의미합니다."
레퍼런스가 뭐야?,레퍼런스는 참고 자료를 의미합니다.
로우 데이터가 뭐야?,로우 데이터는 가공하지 않은 원본 자료를 의미합니다.
룩앤필이 뭐야?,룩앤필은 제품의 겉모양이나 인터페이스 등 눈에 보이는 시각적 요소를 의미합니다.
리소스가 뭐야?,"리소스는 인력, 시간, 돈 등 업무에 투입되는 자원을 의미합니다."
리스트업이 뭐야?,리스트업은 데이터를 목록화하는 것입니다.
린이 뭐야?,"린은 군살이 없다, 낭비 없이 효율적인 운영방식을 의미합니다."
릴리즈가 뭐야?,"릴리즈는 발표, 배포, 출시를 의미합니다."
마이그레이션이 뭐야?,마이그레이션은 데이터 등을 새로운 운영 체계로 옮기는 과정을 의미합니다.
마일스톤이 뭐야?,마일스톤은 단기적 사업 목표를 의미합니다.
마켓쉐어가 뭐야?,마켓쉐어는 시장점유율을 의미합니다.
맨먼스가 뭐야?,맨먼스는 한 사람이 한 달 동안 수행할 수 있는 작업량을 의미합니다.
명일이 무슨 뜻이야?,명일은 내일을 의미합니다.
미수금이 뭐야?,미수금은 아직 거둬들이지 못한 돈을 의미합니다.
바텀업이 뭐야?,실무자가 업무를 기획해 윗선에 보고하여 일을 진행하는 방식입니다. 탑다운의 반대 개념입니다.
반려가 뭐야?,반려는 승인을 요청한 문서 등을 처리하지 않고 되돌려 보내는 것을 의미합니다.
배상이 뭐야?,배상은 남에게 손해를 끼친 일에 대하여 이를 물어주는 행위를 의미합니다.
백업이 뭐야?,백업은 파일 손상 등에 대비하여 데이터를 다른 저장장치에 복사해두는 행위입니다.
분장이 뭐야?,분장은 일이나 임무를 나누어 맡는 것을 의미합니다.
불출이 뭐야?,불출은 돈이나 물품을 내주는 것을 의미합니다.
붙임이 뭐야?,붙임은 글에서 빠진 것이나 참고할 내용을 뒤에 덧붙여 적는 것을 의미합니다.
사안이 뭐야?,사안은 문제가 되는 일이나 계획을 의미합니다.
사일로가 뭐야?,사일로는 팀끼리 벽을 치고 협력이나 소통을 하지 않는 상태를 의미합니다.
상기가 무슨 뜻이야?,상기는 지난 일을 돌이켜 생각해내는 것을 의미합니다.
상동이 무슨 뜻이야?,상동은 서로 같음을 의미합니다.
상신이 무슨 뜻이야?,"상신은 윗사람에게 일에 대한 의견, 상황을 말이나 글로 보고하는 것을 의미합니다."
세미나가 뭐야?,"세미나는 연구회, 발표회, 토론회 등을 의미합니다."
소구가 뭐야?,소구는 소비자의 구매욕을 자극하기 위하여 상품의 특성이나 매력을 호소하는 것입니다.
소프트카피가 뭐야?,소프트카피는 종이로 출력하지 않은 디지털 형태의 문서를 의미합니다.
송부가 뭐야?,송부는 편지나 물품을 보내는 것을 의미합니다.
수기가 뭐야?,수기는 글을 자기 손으로 직접 쓰는 것을 의미합니다.
순연이 뭐야?,순연은 차례로 기일을 늦추는 것입니다.
스콥이 뭐야?,스콥은 범위를 의미합니다. 예를 들어 업무 범위라면 업무스콥 이라고 표현합니다.
스크럼이 뭐야?,"스크럼은 팀 단위에서 주기적으로 업무를 계획해 짧은 기간동안 작업을 수행하는 업무 방식, 또는 이러한 업무를 위한 회의입니다."
스크리닝이 뭐야?,스크리닝은 초기 단계에서 상품을 테스트해 선별하는 일을 의미합니다.
스탠스가 뭐야?,"스탠스는 어떤 일에 대한 공개적인 입장, 태도를 의미합니다."
스프린트가 뭐야?,스프린트는 단기간에 집중해 프로젝트를 완료하는 업무 방식입니다.
싱크가 뭐야?,싱크는 작업끼리 수행 시기를 발 맞추는 것입니다.
ASAP이 뭐야?,"ASAP은 As Soon As Possible의 약자로, 가급적 빨리 라는 뜻입니다."
아이데이션이 뭐야?,아이데이션(Ideation)은 아이디어를 얻기 위해 행하는 모든 활동을 의미합니다.
아젠다가 뭐야?,아젠다는 회의 안건을 의미합니다.
애자일이 뭐야?,애자일(Agile)은 빠르고 유연하게 의사결정하고 변화에 민첩하게 대응하는 조직 운영 방식을 의미합니다.
액션 아이템이 뭐야?,액션 아이템은 실행 과제를 의미합니다.
양지가 무슨 뜻이야?,양지는 살펴서 알다 라는 의미입니다.
어레인지가 뭐야?,"어레인지는 처리하다, 정리하다, 조율하다 라는 의미입니다."
어사인이 뭐야?,"어사인(assign)은 목표나 방향을 일치시키다, 결을 맞추다 라는 뜻입니다."
얼터가 뭐야?,얼터는 대안을 의미합니다.
온보딩이 뭐야?,온보딩은 조직에 잘 정착할 수 있도록 돕는 교육과정입니다.
워크샵이 뭐야?,"워크샵은 공동 연수, 공동 수련을 의미합니다."
워킹데이가 뭐야?,"워킹데이는 근무일로, 대체로 평일을 가리킨다."
워터폴이 뭐야?,워터폴은 정해진 단계에 따라 순차적으로 일을 진행하는 조직 운영 방식입니다.
유선이 뭐야?,"유선은 전선에 의한 통신 방식으로, 전화를 가리킵니다."
유첨이 뭐야?,유첨은 파일 등을 첨부하는 것을 의미합니다.
이관이 뭐야?,이관은 받은 공문이나 알림을 다른 부서로 보내는 것입니다.
익일이 뭐야?,익일은 특정 날의 다음 날을 의미한다.
인볼브가 뭐야?,인볼브는 참여하거나 관여한다는 의미입니다.
인보이스가 뭐야?,"인보이스는 청구서, 명세서입니다."
인비가 워먀?,인비는 인사에 관련된 비밀을 의미합니다.
인사이트가 뭐야?,"인사이트는 통찰력으로, 사물이나 현상의 본질을 꿰뚫는 것입니다."
인폼이 뭐야?,인폼은 정보를 알리는 것입니다.
작일이 뭐야?,작일은 어제를 의미합니다.
재가가 뭐야?,재가는 안건을 결재하여 허가하는 것입니다.
재고가 뭐야?,재고는 어떤 일이나 사안에 대하여 다시 생각해보는 것입니다.
재무가 뭐야?,재무는 기업의 자금을 조달하고 운용하는 것입니다.
재무제표가 뭐야?,재무제표는 기업의 재무상태를 파악하기 위해 회계 원칙에 따라 작성한 보고서입니다.
전결이 뭐야?,전결은 권한을 위임받은 사람이 대신 결재하는 것입니다.
전일이 뭐야?,전일은 특정 날의 이전 날을 의미합니다.
전표가 뭐야?,전표는 거래 증거 자료를 보존하기 위해 거래 내용을 요약해 기록한 표입니다.
제고가 뭐야?,제고는 수준이나 정도를 끌어올리는 것입니다.
제위가 뭐야?,제위는 여러분 이라는 뜻입니다. 예를 들어 수신자 제위 라고 한다면 수신자 여러분 을 의미하는 것입니다.
지결이 뭐야?,"지결은 회사의 돈을 써야할 때 그 내역을 검토, 결정하는 일을 의미합니다."
지양이 뭐야?,지양은 더 높은 단계로 오르기 위하여 어떤 것을 하지 않는 것입니다.
지향이 뭐야?,지향은 어떤 목표로 뜻이 향하는 것을 의미합니다.
차일이 뭐야?,바로 앞에서 이야기한 날을 의미합니다.
착수가 뭐야?,착수는 어떤 일을 시작하는 것입니다.
출타가 뭐야?,다른 곳에 외출하는 것입니다.
커피챗이 뭐야?,커피챗은 커피를 마시며 캐주얼하게 이야기를 나누는 형식의 미팅입니다.
컨선이 뭐야?,컨선(concern)은 우려를 의미합니다.
컨퍼런스가 뭐야?,컨퍼런스는 특정 주제에 관해 사람들이 모여 토론하는 대규모 회의나 모임을 의미합니다.
컨퍼런스콜이 뭐야?,3인 이상이 전화로 진행하는 회의입니다.
컨펌이 뭐야?,"컨펌(confirm)은 승인, 확인입니다."
컬쳐덱이 뭐야?,컬쳐덱(culture dec)은 조직문화를 문서화한 자료입니다.
컷오프가 뭐야?,컷오프는 주로 물류업계에서 화물 반입 마감 시간을 의미합니다.
케파가 뭐야?,케파(capacity)는 능력 및 역량을 의미합니다. 주로 생산 가능한 최대치를 표현할 때 사용합니다.
크로스체크가 뭐야?,크로스체크는 여러 명의 관점으로 정보나 문서를 검사하는 것입니다.
킥오프가 뭐야?,"킥오프는 시작하다, 착수하다 라는 의미입니다."
타운홀미팅이 뭐야?,타운홀미팅은 전 직원이 모여 의견을 주고받는 회의입니다.
탑다운이 뭐야?,탑다운은 상사가 부하에게 업무를 지시하는 방식입니다. 바텀업과 반대급부의 개념입니다.
태스크가 뭐야?,태스크는 과업입니다.
토스가 뭐야?,토스(toss)는 상대에게 넘기는 것을 의미합니다.
톤앤매너가 뭐야?,"톤앤매너(tone & manner)는 분위기나 어조, 태도 등 기업과 브랜드의 정체성을 나타내는 요소입니다."
트래픽이 뭐야?,트래픽은 특정 사이트 등의 접속/이용량입니다.
팔로우업이 뭐야?,팔로우업은 후속조치 및 사후점검을 의미합니다.
페르소나가 뭐야?,페르소나는 고객을 구체화한 것입니다. 예를들어 당사의 페르소나는 스포츠를 즐기는 외향적인 30대 여성 직장인입니다 와 같이 사용 가능합니다.
펜딩이 뭐야?,펜딩은 결정되지 않고 보류중인 상태입니다.
폐사가 뭐야?,폐사는 말하는 이가 자기 회사를 낮추어 말하는 말입니다.
포워드가 뭐야?,"포워드는 전달하다 라는 의미로, 주로 메일을 다른 사람에게 전달할 때 사용합니다."
품의가 뭐야?,품의는 상사에게 말이나 글로 여쭈어 의논하는 것입니다.
프레임워크가 뭐야?,"프레임워크는 어떤 일에 대한 판단, 결정을 내리기 위한 틀입니다."
피드백이 뭐야?,"피드백은 작업한 일의 결과에 대해 평가나 의견, 조언을 주는 것입니다."
피봇팅이 뭐야?,피봇팅은 사업체를 그대로 유지한 채 사업의 방향을 바꾸는 것입니다.
피저빌리티가 뭐야?,피저빌리티(Feasibility)는 실현 가능성입니다.
하기가 뭐야?,하기는 어떤 사실을 알리기 위하여 본문 아래에 적는 것입니다.
하드카피가 뭐야?,하드카피는 문서를 인쇄물로 출력한 것입니다.
혼선이 뭐야?,혼선은 말이나 업무 등을 서로 다르게 파악하여 혼란이 발생하는 것입니다.
홀딩이 뭐야?,홀딩(holding)은 일시 중지입니다.
회람이 뭐야?,회람은 글이나 문서를 여러 사람이 차례로 돌려 보는 것입니다.
회신이 뭐야?,회신은 편지나 전화 등으로 답변하는 것입니다.
AOB가 뭐야?,AOB(Any Other Business)는 의제 외 기타사항입니다.
As-is가 뭐야?,As-is는 현재 상태를 의미합니다. 주로 실행 전/후 차이를 보여주는 보고서에서 To-be와 함께 사용합니다.
BCC가 뭐야?,BCC는 숨은 참조입니다. 수신자에게 보이지 않게 메일 참조를 걸고 싶을 떄 사용합니다.
BEP가 뭐야?,BEP는 손익분기점입니다. 일정 기간동안의 총 비용과 총 수익이 동일한 지점을 의미합니다.
BM이 뭐야?,BM은 비즈니스 모델입니다. 기업의 총체적인 사업 아이디어입니다.
BP가 뭐야?,"BP는 산업별로 가장 잘하고 있는 사업 방식, 모범 경영 사례입니다."
CC가 뭐야?,CC는 참조입니다. 메일을 받는 주된 수신인은 아니지만 업무상 메일 참조가 필요한 사람에게 CC를 걸어서 보냅니다.
comm가 뭐야?,"comm는 커뮤니케이션, 즉 의사소통입니다."
CRM이 뭐야?,CRM은 고객과의 관계 관리를 통해 장기 충성고객을 확보하는 마케팅입니다.
DB가 뭐야?,"DB는 여러 사람이 공유해 사용할 목적으로 통합 관리되는 데이터의 집합으로, 데이터베이스라고 합니다."
e.g.가 뭐야?,e.g.는 예를 들어 라는 의미입니다.
EOB가 뭐야?,EOB는 업무 종료 시각입니다.
EOD가 뭐야?,EOD는 문서의 끝입니다.
EOM이 뭐야?,"EOM은 제곧내, 즉 메일 제목이 곧 내용과 같다는 의미입니다."
FYI가 뭐야?,FYI는 참고하세요 라는 의미입니다.
FYR이 뭐야?,FYR은 참고하세요 라는 의미입니다.
HR이 뭐야?,HR은 인적자원에 관련된 일입니다.
i.e.가 뭐야?,"i.e.는 즉, 다시말해 라는 의미입니다."
KPI가 뭐야?,KPI는 핵심성과지표입니다.
KSF가 뭐야?,KSF는 핵심성공요인입니다.
MECE가 뭐야?,MECE는 내용이 서로 중복되지 않으면서 누락되지 않게 정리하는 것입니다.
MoM이 뭐야?,MoM은 전월 대비 증감률입니다.
MVP가 뭐야?,MVP는 시장의 피드백을 받기 위해 최소한의 핵심기능만으로 구현한 테스트 제품입니다.
N/A가 뭐야?,N/A는 해당사항 없음을 의미합니다.
NDA가 뭐야?,NDA는 비밀유지계약서입니다.
OJT가 뭐야?,OJT는 직장 내 교육훈련입니다.
OKR이 뭐야?,OKR은 조직의 이상적인 목표를 수립하고 이를 달성했다고 말할 수 있는 핵심 성과 지표를 설정하는 조직 관리 체계입니다.
PM이 뭐야?,PM은 제품 또는 프로젝트의 관리자입니다.
PO가 뭐야?,PO는 제품의 전반을 책임지는 디렉터이자 리더입니다.
QoQ가 뭐야?,QOQ는 전분기 대비 증감률입니다.
R&R이 뭐야?,R&R은 역할과 책임을 의미합니다.
ROAS가 뭐야?,ROAS는 광고비용 대비 매출입니다.
ROI가 뭐야?,ROI는 투자 대비 이익률입니다.
T/O는 뭐야?,T/O는 조직편성도입니다. 주로 조직에 자리가 비었을 때 T/O가 났다고 표현합니다.
TBA가 뭐야?,TBA는 추후에 공고한다는 것입니다.
TBD가 뭐야?,TBD는 추후에 결정한다는 것입니다.
TF가 뭐야?,TF는 특정 프로젝트를 위해 임시로 조직된 팀입니다. TFT라고도 합니다.
To-be가 뭐야?,To-be는 추후 개선안입니다.
VoC가 뭐야?,VoC는 고객의 소리입니다.
VP가 뭐야?,VP는 핵심가치입니다.
w/o가 뭐야?,"w/o는 without, 미포함이라는 뜻입니다."
YoY가 뭐야?,YoY는 전년 대비 증감률입ㄴ다.
올림과 드림은 언제 쓰는거야?,"올림은 윗사람에게, 드림은 동년배 혹은 아랫사람에게 메일을 마치며 사용합니다."
B2B가 뭐야?,B2B는 회사 간 물품이나 서비스를 거래하는 것입니다.
B2C가 뭐야?,B2C는 기업이 제공하는 물품이나 서비스를 소비자와 직접 거래하는 것입니다.
B2G가 뭐야?,B2G는 기업과 정부 간 전자상거래입니다.
CEO가 뭐야?,CEO는 최고경영자입니다.
CTO가 뭐야?,CTO는 최고 기술경영자입니다.
CFO가 뭐야?,CFO는 최고 재무책임자입니다.
컨센서스가 뭐야?,컨센서느는 여러 사람들과 의견을 일치시키는 것입니다.
